Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2022-07-19 13:37:00,70.230591,-148.381531,-7204.88,19836.06,-24825.18,999.00
2022-07-19 13:38:10,70.230591,-148.381531,-7213.59,23937.18,-26789.61,999.00
2022-07-19 13:39:21,70.230591,-148.381531,-7059.06,23831.10,-26885.25,999.00
2022-07-19 13:40:31,70.230591,-148.381531,-7180.06,23690.58,-26682.52,999.00
2022-07-19 13:41:41,70.230591,-148.381531,-7256.69,23918.77,-26978.66,999.00
2022-07-19 13:42:51,70.230591,-148.381531,-7109.63,23795.69,-27146.50,999.00
2022-07-19 13:44:01,70.230591,-148.381531,-7109.88,23832.92,-27046.28,999.00
2022-07-19 13:45:10,70.230591,-148.381531,-7045.66,23906.66,-27129.64,999.00
2022-07-19 13:46:21,70.230591,-148.381531,-6855.47,23971.16,-27398.07,999.00
2022-07-19 13:47:30,70.230591,-148.381531,-6820.17,24098.04,-27338.92,999.00
2022-07-19 13:48:41,70.230591,-148.381531,-6883.29,24003.47,-27465.37,999.00
2022-07-19 13:49:51,70.230591,-148.381531,-6978.36,24018.24,-27533.46,999.00
2022-07-19 13:51:01,70.230591,-148.381531,-6884.09,23892.07,-27778.37,999.00
2022-07-19 13:52:11,70.230591,-148.381531,-6902.58,23920.75,-27943.84,999.00
2022-07-19 13:53:20,70.230591,-148.381531,-6916.61,23946.92,-28008.49,999.00
2022-07-19 13:54:31,70.230591,-148.381531,-6983.80,23899.58,-28016.66,999.00
2022-07-19 13:55:41,70.230591,-148.381531,-6900.47,23901.38,-28043.07,999.00
2022-07-19 13:56:51,70.230591,-148.381531,-6991.63,23826.47,-27948.21,999.00
2022-07-19 13:58:01,70.230591,-148.381531,-6993.39,23804.31,-27816.51,999.00
2022-07-19 13:59:11,70.230591,-148.381531,-7011.31,23937.87,-28014.33,999.00
2022-07-19 14:00:21,70.230591,-148.381531,-7070.57,23986.52,-28009.35,999.00
2022-07-19 14:01:31,70.230591,-148.381531,-7005.51,23956.56,-27847.70,999.00
2022-07-19 14:02:41,70.230591,-148.381531,-7003.09,23996.92,-28130.76,999.00
2022-07-19 14:03:51,70.230591,-148.381531,-7124.08,23827.32,-28212.81,999.00
2022-07-19 14:05:00,70.230591,-148.381531,-7043.59,23802.19,-27914.58,999.00
2022-07-19 14:06:11,70.230591,-148.381531,-7021.22,23843.05,-27956.74,999.00
2022-07-19 14:07:21,70.230591,-148.381531,-7111.87,23875.72,-27974.08,999.00
2022-07-19 14:08:31,70.230591,-148.381531,-7290.89,23898.49,-27962.28,999.00
2022-07-19 14:09:41,70.230591,-148.381531,-7142.38,23895.41,-28052.90,999.00
2022-07-19 14:10:51,70.230591,-148.381531,-7123.13,23858.45,-27900.79,999.00
2022-07-19 14:12:01,70.230591,-148.381531,-7137.80,23870.47,-27990.19,999.00
2022-07-19 14:13:11,70.230591,-148.381531,-7118.00,23909.00,-27891.72,999.00
2022-07-19 14:14:21,70.230591,-148.381531,-7162.48,23890.37,-27975.82,999.00
2022-07-19 14:15:30,70.230591,-148.381531,-6900.73,23946.24,-27977.33,999.00
2022-07-19 14:16:41,70.230591,-148.381531,-7063.23,23869.88,-27842.45,999.00
2022-07-19 14:17:51,70.230591,-148.381531,-7127.77,23887.44,-27884.54,999.00
2022-07-19 14:19:01,70.230591,-148.381531,-7167.52,23980.11,-28301.19,999.00
2022-07-19 14:20:11,70.230591,-148.381531,-6890.25,23862.90,-27871.50,999.00
2022-07-19 14:21:21,70.230591,-148.381531,-6927.95,23910.94,-27943.43,999.00
2022-07-19 14:22:31,70.230591,-148.381531,-7044.01,23971.25,-28168.87,999.00
2022-07-19 14:23:41,70.230591,-148.381531,-7090.50,23864.13,-28031.32,999.00
2022-07-19 14:24:51,70.230591,-148.381531,-6957.38,23978.76,-28229.98,999.00
2022-07-19 14:26:01,70.230591,-148.381531,-7004.40,23977.64,-28386.31,999.00
2022-07-19 14:27:11,70.230591,-148.381531,-7010.28,23982.77,-28314.75,999.00
2022-07-19 14:28:21,70.230591,-148.381531,-7078.74,23845.70,-27974.55,999.00
2022-07-19 14:29:31,70.230591,-148.381531,-6998.53,23968.86,-28163.35,999.00
2022-07-19 14:30:40,70.230591,-148.381531,-7065.74,24018.32,-28205.54,999.00
2022-07-19 14:31:51,70.230591,-148.381531,-7065.15,24116.47,-27955.98,999.00
2022-07-19 14:33:01,70.230591,-148.381531,-7141.79,24108.95,-27840.28,999.00
2022-07-19 14:34:11,70.230591,-148.381531,-7025.02,24006.72,-28293.07,999.00
2022-07-19 14:35:21,70.230591,-148.381531,-7127.81,24024.01,-28202.29,999.00
2022-07-19 14:36:31,70.230591,-148.381531,-6915.48,24049.94,-28314.42,999.00
2022-07-19 14:37:41,70.230591,-148.381531,-6898.27,24097.21,-28114.27,999.00
2022-07-19 14:38:51,70.230591,-148.381531,-6957.09,24097.66,-28221.70,999.00
2022-07-19 14:40:01,70.230591,-148.381531,-6989.07,24027.76,-28373.81,999.00
2022-07-19 14:41:11,70.230591,-148.381531,-6824.41,24166.12,-28306.47,999.00
2022-07-19 14:42:21,70.230591,-148.381531,-6779.26,24115.46,-28162.17,999.00
2022-07-19 14:43:31,70.230591,-148.381531,-6898.80,24037.54,-28107.77,999.00
2022-07-19 14:44:41,70.230591,-148.381531,-6969.14,24211.13,-28015.92,999.00
2022-07-19 14:45:51,70.230591,-148.381531,-6903.93,24154.08,-27888.57,999.00
2022-07-19 14:47:01,70.230591,-148.381531,-6769.09,24117.70,-28128.90,999.00
2022-07-19 14:48:11,70.230591,-148.381531,-6792.29,24208.01,-28008.98,999.00
2022-07-19 14:49:21,70.230591,-148.381531,-6574.26,24028.70,-27781.56,999.00
2022-07-19 14:50:31,70.230591,-148.381531,-6601.78,24062.05,-27588.35,999.00
2022-07-19 14:51:40,70.230591,-148.381531,-6698.65,24171.20,-27551.43,999.00
2022-07-19 14:52:51,70.230591,-148.381531,-6729.09,24093.19,-27873.97,999.00
2022-07-19 14:54:01,70.230591,-148.381531,-6783.71,24008.47,-27917.91,999.00
2022-07-19 14:55:11,70.230591,-148.381531,-6937.63,24089.65,-28088.38,999.00
2022-07-19 14:56:21,70.230591,-148.381531,-6921.02,24114.71,-28250.92,999.00
2022-07-19 14:57:31,70.230591,-148.381531,-6776.40,23901.62,-28275.98,999.00
2022-07-19 14:58:41,70.230591,-148.381531,-6735.96,23961.18,-27939.65,999.00
2022-07-19 14:59:51,70.230591,-148.381531,-6773.54,23827.25,-28056.55,999.00
2022-07-19 15:01:01,70.230591,-148.381531,-6899.94,23956.88,-28239.99,999.00
2022-07-19 15:02:11,70.230591,-148.381531,-6851.56,23806.35,-27936.69,999.00
2022-07-19 15:03:21,70.230591,-148.381531,-6751.07,23831.34,-27772.74,999.00
2022-07-19 15:04:31,70.230591,-148.381531,-6764.29,23752.67,-27574.52,999.00
2022-07-19 15:05:41,70.230591,-148.381531,-6876.66,23884.35,-27700.09,999.00
2022-07-19 15:06:51,70.230591,-148.381531,-6963.26,23887.80,-27543.94,999.00
2022-07-19 15:08:01,70.230591,-148.381531,-6889.04,23800.26,-27601.16,999.00
2022-07-19 15:09:11,70.230591,-148.381531,-6979.27,23795.46,-27693.95,999.00
2022-07-19 15:10:21,70.230591,-148.381531,-7008.25,23961.55,-27546.24,999.00
2022-07-19 15:11:31,70.230591,-148.381531,-6828.70,23838.78,-27604.92,999.00
2022-07-19 15:12:41,70.230591,-148.381531,-6922.65,23825.05,-27635.29,999.00
2022-07-19 15:13:51,70.230591,-148.381531,-6856.07,23942.17,-27533.42,999.00
2022-07-19 15:15:01,70.230591,-148.381531,-6794.27,23803.03,-27502.95,999.00
2022-07-19 15:16:11,70.230591,-148.381531,-6705.14,23855.17,-27688.73,999.00
2022-07-19 15:17:21,70.230591,-148.381531,-6846.44,23893.59,-27440.41,999.00
2022-07-19 15:18:31,70.230591,-148.381531,-6916.71,23889.95,-27581.44,999.00
2022-07-19 15:19:41,70.230591,-148.381531,-6939.11,23853.09,-27497.75,999.00
2022-07-19 15:20:51,70.230591,-148.381531,-6933.53,23901.16,-27517.11,999.00
2022-07-19 15:22:01,70.230591,-148.381531,-6998.62,23945.72,-27351.17,999.00
2022-07-19 15:23:11,70.230591,-148.381531,-6860.52,23919.78,-27577.93,999.00
2022-07-19 15:24:21,70.230591,-148.381531,-6705.83,24001.89,-27502.95,999.00
2022-07-19 15:25:31,70.230591,-148.381531,-6681.78,24013.31,-27725.24,999.00
2022-07-19 15:26:41,70.230591,-148.381531,-6787.02,24010.51,-27677.99,999.00
2022-07-19 15:27:51,70.230591,-148.381531,-6825.91,23922.45,-27627.28,999.00
2022-07-19 15:29:01,70.230591,-148.381531,-6823.07,23852.14,-27350.35,999.00
2022-07-19 15:30:11,70.230591,-148.381531,-6886.92,24005.10,-27394.31,999.00
2022-07-19 15:31:21,70.230591,-148.381531,-6806.54,24032.01,-27480.10,999.00
2022-07-19 15:32:31,70.230591,-148.381531,-6928.25,23838.81,-27670.07,999.00
2022-07-19 15:33:41,70.230591,-148.381531,-6919.68,23917.12,-27570.45,999.00
2022-07-19 15:34:51,70.230591,-148.381531,-6956.31,24024.94,-27421.01,999.00
2022-07-19 15:36:01,70.230591,-148.381531,-6889.76,24025.55,-27784.36,999.00
2022-07-19 15:37:11,70.230591,-148.381531,-6869.45,23943.65,-27584.88,999.00
2022-07-19 15:38:21,70.230591,-148.381531,-6881.63,23830.82,-27661.96,999.00
2022-07-19 15:39:31,70.230591,-148.381531,-6939.59,23993.70,-27726.28,999.00
2022-07-19 15:40:41,70.230591,-148.381531,-6719.93,23945.04,-27432.01,999.00
2022-07-19 15:41:51,70.230591,-148.381531,-6904.98,23919.09,-27348.19,999.00
2022-07-19 15:43:01,70.230591,-148.381531,-6782.19,23897.52,-27409.59,999.00
