Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-14 05:28:43,39.992416,-105.247711,46950.77,18107.46,43318.52
2022-03-14 05:28:54,39.992416,-105.247711,53987.72,34119.33,41839.52
2022-03-14 05:29:04,39.992405,-105.247704,47880.24,18234.80,44271.99
2022-03-14 05:29:14,39.992401,-105.247734,48366.81,16294.39,45539.45
2022-03-14 05:29:24,39.992390,-105.247688,49485.09,16958.16,46488.65
2022-03-14 05:29:34,39.992390,-105.247681,49642.99,16498.65,46821.16
2022-03-14 05:29:44,39.992397,-105.247688,48663.03,19010.03,44796.30
2022-03-14 05:29:54,39.992401,-105.247696,48575.83,19042.80,44687.61
2022-03-14 05:30:04,39.992401,-105.247704,48803.10,20064.98,44487.52
2022-03-14 05:30:14,39.992393,-105.247704,48477.39,19176.02,44523.45
2022-03-14 05:30:24,39.992390,-105.247704,52559.82,16060.37,50045.96
2022-03-14 05:30:34,39.992390,-105.247704,52329.27,16435.67,49681.20
2022-03-14 05:30:44,39.992390,-105.247704,52749.22,16211.65,50196.24
2022-03-14 05:30:54,39.992390,-105.247704,52325.82,16298.91,49722.61
2022-03-14 05:31:04,39.992390,-105.247704,52160.56,16107.89,49611.09
2022-03-14 05:31:14,39.992390,-105.247704,52753.45,16363.20,50151.50
2022-03-14 05:31:24,39.992390,-105.247704,52397.47,16175.16,49838.32
2022-03-14 05:31:34,39.992390,-105.247704,52400.78,16015.94,49893.20
2022-03-14 05:31:44,39.992390,-105.247704,52184.36,16038.07,49658.71
2022-03-14 05:31:54,39.992390,-105.247704,52518.77,16193.60,49959.87
2022-03-14 05:32:04,39.992405,-105.247681,49930.14,18977.41,46183.08
2022-03-14 05:32:14,39.992420,-105.247688,49323.98,18943.01,45541.38
2022-03-14 05:32:24,39.992416,-105.247673,49838.11,19152.73,46010.98
2022-03-14 05:32:34,39.992424,-105.247673,49528.68,19154.40,45674.93
2022-03-14 05:32:44,39.992424,-105.247688,49117.22,18605.88,45456.82
2022-03-14 05:32:54,39.992432,-105.247696,49218.95,18467.31,45623.06
2022-03-14 05:33:04,39.992424,-105.247704,49359.12,19146.15,45494.48
2022-03-14 05:33:14,39.992424,-105.247704,49214.39,18976.95,45408.50
2022-03-14 05:33:24,39.992416,-105.247704,49157.83,19026.28,45326.52
2022-03-14 05:33:34,39.992405,-105.247704,49014.93,18425.15,45420.02
2022-03-14 05:33:44,39.992409,-105.247711,49014.61,18664.29,45321.91
2022-03-14 05:33:54,39.992413,-105.247704,48947.40,19109.61,45062.96
2022-03-14 05:34:04,39.992420,-105.247704,49016.26,19102.11,45140.93
2022-03-14 05:34:14,39.992413,-105.247719,48763.48,18748.03,45015.42
2022-03-14 05:34:24,39.992413,-105.247726,48918.91,18685.89,45209.48
2022-03-14 05:34:34,39.992413,-105.247719,49215.74,19006.34,45397.66
2022-03-14 05:34:44,39.992420,-105.247711,48957.88,19669.77,44832.73
2022-03-14 05:34:54,39.992409,-105.247719,14890.72,6643.67,13326.48
2022-03-14 05:35:04,39.992409,-105.247719,14994.65,6614.52,13456.88
2022-03-14 05:35:14,39.992409,-105.247719,14895.24,6849.00,13227.22
2022-03-14 05:35:24,39.992409,-105.247719,14874.58,6643.80,13308.39
2022-03-14 05:35:34,39.992409,-105.247719,15051.98,6459.63,13595.41
2022-03-14 05:35:44,39.992409,-105.247719,15386.09,6622.24,13888.04
2022-03-14 05:35:54,39.992390,-105.247681,50032.49,19189.88,46206.05
2022-03-14 05:36:04,39.992401,-105.247696,49561.00,19093.88,45735.29
2022-03-14 05:36:14,39.992405,-105.247711,49527.64,19031.86,45725.00
2022-03-14 05:36:24,39.992405,-105.247719,49402.50,19198.20,45519.62
2022-03-14 05:36:34,39.992424,-105.247726,49289.62,19726.65,45169.97
2022-03-14 05:36:44,39.992413,-105.247726,49374.23,19441.78,45385.37
2022-03-14 05:36:54,39.992409,-105.247726,49536.44,19518.37,45529.03
