Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-06 00:44:36,61.120625,-149.718445,52014.52,15789.39,49560.12
2022-03-06 00:44:46,61.120636,-149.718475,51971.84,16898.28,49147.94
2022-03-06 00:44:56,61.120628,-149.718460,51816.40,17363.99,48820.39
2022-03-06 00:45:06,61.120632,-149.718475,51925.51,16205.64,49331.89
2022-03-06 00:45:16,61.120621,-149.718445,51828.86,15659.10,49406.72
2022-03-06 00:45:26,61.120621,-149.718460,52269.54,16178.49,49702.73
2022-03-06 00:45:36,61.120625,-149.718460,52404.02,16868.55,49614.85
2022-03-06 00:45:46,61.120621,-149.718460,53513.58,21191.75,49138.71
2022-03-06 00:45:56,61.120625,-149.718460,53514.15,20905.59,49261.75
2022-03-06 00:46:06,61.120625,-149.718460,53513.42,20936.89,49247.67
2022-03-06 00:46:17,61.120625,-149.718460,53513.89,17682.49,50508.08
2022-03-06 00:46:27,61.120625,-149.718460,53486.86,17633.56,50496.55
2022-03-06 00:46:37,61.120625,-149.718460,53401.85,17635.18,50405.93
2022-03-06 00:46:47,61.120625,-149.718460,52856.83,17422.59,49902.89
2022-03-06 00:46:57,61.120625,-149.718460,53463.99,17526.84,50509.49
2022-03-06 00:47:07,61.120625,-149.718460,53497.31,17478.68,50561.43
2022-03-06 00:47:17,61.120625,-149.718460,53595.09,17434.64,50680.05
2022-03-06 00:47:27,61.120625,-149.718460,53328.80,17592.77,50343.37
2022-03-06 00:47:37,61.120625,-149.718460,53503.11,17766.38,50467.20
2022-03-06 00:47:47,61.120625,-149.718460,53344.52,17627.93,50347.73
2022-03-06 00:47:57,61.120625,-149.718460,53615.22,17747.33,50592.73
2022-03-06 00:48:07,61.120625,-149.718460,53955.61,17683.76,50975.41
2022-03-06 00:48:17,61.120625,-149.718460,53269.82,17577.14,50286.36
2022-03-06 00:48:27,61.120625,-149.718460,53135.54,17683.45,50106.69
2022-03-06 00:48:37,61.120636,-149.718460,51717.71,16628.93,48971.43
2022-03-06 00:48:54,61.120640,-149.718491,52394.80,14476.53,50355.20
2022-03-06 00:49:04,61.120632,-149.718475,52793.80,15964.46,50322.18
