Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-11 18:30:37,61.449085,-149.370728,54373.28,30345.84,45117.44
2022-03-11 18:30:47,61.449078,-149.370697,52215.51,42330.52,30571.00
2022-03-11 18:30:58,61.449070,-149.370682,54108.80,22032.73,49419.85
2022-03-11 18:31:08,61.449081,-149.370697,52134.57,23937.51,46314.24
2022-03-11 18:31:18,61.449112,-149.370682,50330.72,35527.33,35650.95
2022-03-11 18:31:28,61.449120,-149.370682,52335.72,26704.11,45010.20
2022-03-11 18:31:38,61.449112,-149.370667,83095.22,65455.30,51190.02
2022-03-11 18:31:48,61.449108,-149.370636,544299.31,535146.75,99396.67
2022-03-11 18:31:58,61.449116,-149.370682,1027510.31,1027114.06,28533.16
2022-03-11 18:32:08,61.449116,-149.370682,1048665.62,1048355.94,25485.64
2022-03-11 18:32:18,61.449127,-149.370651,118603.54,99122.89,65126.42
2022-03-11 18:32:28,61.449116,-149.370682,86696.48,66053.05,56154.01
2022-03-11 18:32:38,61.449104,-149.370682,382338.75,363156.06,119585.12
2022-03-11 18:32:48,61.449104,-149.370682,59919.77,30376.65,51649.18
2022-03-11 18:32:58,61.449100,-149.370682,52869.12,14567.90,50822.44
2022-03-11 18:33:08,61.449112,-149.370651,52445.65,3861.35,52303.31
2022-03-11 18:33:18,61.449112,-149.370682,114551.02,108926.02,35455.04
2022-03-11 18:33:28,61.449112,-149.370682,622998.06,580337.75,226571.59
2022-03-11 18:33:38,61.449123,-149.370682,55624.75,30957.86,46213.89
2022-03-11 18:33:48,61.449120,-149.370697,57020.73,36629.25,43699.68
2022-03-11 18:33:58,61.449120,-149.370697,57896.64,37797.40,43856.33
2022-03-11 18:34:08,61.449123,-149.370712,58671.93,35136.64,46987.36
2022-03-11 18:34:18,61.449123,-149.370712,57227.92,36721.98,43892.27
2022-03-11 18:34:28,61.449123,-149.370712,57162.93,33748.94,46136.85
2022-03-11 18:34:38,61.449127,-149.370728,57825.45,37506.68,44011.72
2022-03-11 18:34:48,61.449127,-149.370728,56634.01,36901.67,42961.36
2022-03-11 18:34:58,61.449131,-149.370712,51738.38,20940.39,47311.31
2022-03-11 18:35:08,61.449135,-149.370728,53307.33,17389.70,50391.17
2022-03-11 18:35:18,61.449135,-149.370728,53663.84,18052.76,50536.18
2022-03-11 18:35:28,61.449135,-149.370728,53351.91,17534.46,50388.18
2022-03-11 18:35:38,61.449139,-149.370728,53294.03,16938.64,50530.54
2022-03-11 18:35:48,61.449131,-149.370712,54874.79,16444.60,52352.82
2022-03-11 18:35:58,61.449116,-149.370697,226700.05,223045.84,-40539.68
2022-03-11 18:36:08,61.449116,-149.370682,178854.14,178846.81,1619.15
2022-03-11 18:36:18,61.449112,-149.370682,129158.91,128303.70,14838.62
2022-03-11 18:36:28,61.449112,-149.370682,132160.69,131445.20,13733.30
2022-03-11 18:36:38,61.449123,-149.370682,85695.23,74879.08,41674.87
2022-03-11 18:36:48,61.449127,-149.370682,55165.55,14655.44,53183.23
