Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2021-12-17 20:10:44,70.230614,-148.381897,-15965.83,36615.43,-78928.52,999.00
2021-12-17 20:11:54,70.230614,-148.381897,-15871.72,36560.88,-78894.30,999.00
2021-12-17 20:13:04,70.230614,-148.381897,-15766.81,36697.71,-78993.02,999.00
2021-12-17 20:14:14,70.230614,-148.381897,-15733.03,36669.53,-79058.99,999.00
2021-12-17 20:15:24,70.230614,-148.381897,-15813.67,36683.30,-78942.08,999.00
2021-12-17 20:16:34,70.230614,-148.381897,-15618.92,36763.95,-78949.01,999.00
2021-12-17 20:17:44,70.230614,-148.381897,-15654.52,36672.73,-78858.39,999.00
2021-12-17 20:18:54,70.230614,-148.381897,-15775.77,36639.39,-79000.09,999.00
2021-12-17 20:20:04,70.230614,-148.381897,-15776.92,36445.76,-79201.12,999.00
2021-12-17 20:21:14,70.230614,-148.381897,-15816.37,36501.96,-79184.55,999.00
2021-12-17 20:22:24,70.230614,-148.381897,-15750.65,36645.44,-79317.50,999.00
2021-12-17 20:23:34,70.230614,-148.381897,-15853.69,36649.61,-79446.41,999.00
2021-12-17 20:24:44,70.230614,-148.381897,-15742.72,36558.71,-79305.30,999.00
2021-12-17 20:25:54,70.230614,-148.381897,-15719.83,36547.70,-79467.84,999.00
2021-12-17 20:27:04,70.230614,-148.381897,-15708.16,36632.91,-79424.46,999.00
2021-12-17 20:28:14,70.230614,-148.381897,-15748.20,36662.45,-79308.62,999.00
2021-12-17 20:29:24,70.230614,-148.381897,-15778.10,36796.32,-79236.09,999.00
2021-12-17 20:30:34,70.230614,-148.381897,-15807.27,36638.28,-79479.02,999.00
2021-12-17 20:31:44,70.230614,-148.381897,-15665.93,36611.85,-79512.55,999.00
2021-12-17 20:32:54,70.230614,-148.381897,-15726.06,36560.70,-79418.60,999.00
2021-12-17 20:34:04,70.230614,-148.381897,-15651.32,36627.13,-79247.62,999.00
2021-12-17 20:35:14,70.230614,-148.381897,-15561.91,36574.97,-79375.99,999.00
2021-12-17 20:36:24,70.230614,-148.381897,-15690.08,36535.69,-79352.47,999.00
2021-12-17 20:37:34,70.230614,-148.381897,-15459.14,36605.44,-79552.98,999.00
2021-12-17 20:38:44,70.230614,-148.381897,-15602.98,36578.86,-79719.91,999.00
2021-12-17 20:39:54,70.230614,-148.381897,-15841.28,36641.75,-79505.23,999.00
2021-12-17 20:41:04,70.230614,-148.381897,-15715.72,36688.35,-79477.62,999.00
2021-12-17 20:42:14,70.230614,-148.381897,-15685.51,36762.95,-79471.66,999.00
2021-12-17 20:43:24,70.230614,-148.381897,-15888.70,36698.06,-79366.18,999.00
2021-12-17 20:44:34,70.230614,-148.381897,-15827.04,36718.14,-79414.75,999.00
2021-12-17 20:45:44,70.230614,-148.381897,-15792.78,36704.07,-79474.48,999.00
