Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-06-16 19:22:02,40.188473,-105.501320,52582.77,19644.76,48775.32
2022-06-16 19:22:12,40.188473,-105.501328,53037.70,19862.80,49177.91
2022-06-16 19:22:22,40.188454,-105.501335,52634.08,19014.80,49079.36
2022-06-16 19:22:32,40.188454,-105.501335,52432.45,19799.92,48550.23
2022-06-16 19:22:42,40.188450,-105.501335,52398.74,19155.40,48771.90
2022-06-16 19:22:53,40.188461,-105.501320,51924.09,20480.36,47714.42
2022-06-16 19:23:03,40.188469,-105.501335,52036.09,20491.65,47831.45
2022-06-16 19:23:13,40.188484,-105.501312,51976.23,19337.78,48244.98
2022-06-16 19:23:23,40.188461,-105.501312,52479.33,21236.80,47990.40
2022-06-16 19:23:33,40.188465,-105.501251,52325.33,20684.15,48063.57
2022-06-16 19:23:43,40.188465,-105.501221,52683.46,21155.71,48249.18
2022-06-16 19:23:53,40.188469,-105.501244,52580.57,21144.46,48141.75
2022-06-16 19:24:03,40.188480,-105.501205,52541.21,21022.05,48152.39
2022-06-16 19:24:13,40.188484,-105.501190,52186.91,21043.97,47755.89
2022-06-16 19:24:23,40.188492,-105.501175,52724.80,20587.96,48539.06
2022-06-16 19:24:33,40.188480,-105.501152,52978.29,20189.70,48980.36
2022-06-16 19:24:43,40.188469,-105.501114,52868.40,22401.13,47887.96
2022-06-16 19:24:53,40.188484,-105.501114,52936.18,20659.39,48738.37
2022-06-16 19:25:03,40.188480,-105.501091,52979.38,20935.80,48667.31
2022-06-16 19:25:13,40.188480,-105.501091,53065.09,21153.40,48666.59
2022-06-16 19:25:23,40.188465,-105.501068,53111.52,20601.70,48953.08
2022-06-16 19:25:33,40.188477,-105.501022,53190.99,21707.84,48559.77
2022-06-16 19:25:43,40.188465,-105.501007,53064.29,21133.92,48674.19
2022-06-16 19:25:53,40.188461,-105.500999,52956.38,20581.44,48793.27
2022-06-16 19:26:03,40.188461,-105.500969,53069.44,19982.64,49163.59
2022-06-16 19:26:13,40.188461,-105.500969,52741.90,21022.92,48370.91
2022-06-16 19:26:23,40.188465,-105.500969,52942.99,20882.64,48650.55
2022-06-16 19:26:33,40.188465,-105.500931,53008.39,19998.87,49091.08
2022-06-16 19:26:43,40.188465,-105.500923,52769.61,20701.13,48539.62
2022-06-16 19:26:53,40.188469,-105.500877,52731.62,21589.94,48109.24
2022-06-16 19:27:03,40.188465,-105.500877,52996.09,20972.56,48669.68
2022-06-16 19:27:13,40.188465,-105.500847,53162.68,20657.42,48985.11
2022-06-16 19:27:23,40.188461,-105.500832,53044.76,20341.57,48989.46
2022-06-16 19:27:33,40.188469,-105.500832,52778.21,19398.58,49083.96
2022-06-16 19:27:43,40.188469,-105.500786,52785.24,19770.22,48943.03
2022-06-16 19:27:53,40.188473,-105.500793,52346.11,19825.67,48446.44
2022-06-16 19:28:03,40.188473,-105.500771,52407.61,19968.77,48454.16
2022-06-16 19:28:13,40.188473,-105.500755,52277.62,19795.04,48384.98
2022-06-16 19:28:23,40.188473,-105.500755,52609.29,20599.37,48408.71
2022-06-16 19:28:33,40.188473,-105.500717,52680.93,20827.08,48389.18
2022-06-16 19:28:43,40.188469,-105.500717,52804.89,20551.08,48641.65
2022-06-16 19:28:53,40.188469,-105.500717,52887.26,20143.15,48901.09
2022-06-16 19:29:03,40.188465,-105.500679,53139.37,20661.88,48957.94
2022-06-16 19:29:13,40.188469,-105.500671,53023.95,20619.06,48850.73
2022-06-16 19:29:22,40.188465,-105.500671,53394.43,21539.92,48856.91
2022-06-16 19:29:32,40.188465,-105.500641,53218.06,21532.69,48667.29
2022-06-16 19:29:42,40.188465,-105.500641,53211.71,21050.99,48870.67
2022-06-16 19:29:52,40.188477,-105.500603,53030.34,21238.28,48591.70
2022-06-16 19:30:02,40.188480,-105.500603,53154.11,19748.76,49349.22
2022-06-16 19:30:12,40.188484,-105.500565,53353.34,20884.41,49096.04
2022-06-16 19:30:22,40.188484,-105.500565,52935.33,22070.50,48114.89
2022-06-16 19:30:33,40.188484,-105.500565,52959.52,20559.69,48805.84
2022-06-16 19:30:43,40.188477,-105.500565,52956.62,20602.60,48784.60
2022-06-16 19:30:53,40.188484,-105.500534,53268.29,21058.29,48929.12
2022-06-16 19:31:03,40.188477,-105.500504,53307.05,20600.74,49165.55
2022-06-16 19:31:13,40.188477,-105.500488,53216.20,20824.84,48972.34
2022-06-16 19:31:23,40.188480,-105.500465,53415.63,21892.84,48723.03
2022-06-16 19:31:33,40.188488,-105.500443,53295.08,20846.34,49048.91
2022-06-16 19:31:43,40.188488,-105.500443,52894.91,21258.77,48434.87
2022-06-16 19:31:53,40.188480,-105.500412,53067.70,20821.05,48812.55
2022-06-16 19:32:03,40.188484,-105.500404,52941.18,20255.58,48912.98
2022-06-16 19:32:13,40.188488,-105.500359,52889.93,19844.08,49026.09
