Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2021-12-09 23:01:02,70.230392,-148.382828,-10066.21,-8270.10,-58195.98,999.00
2021-12-09 23:02:11,70.230392,-148.382828,-9947.36,-7281.90,-68381.68,999.00
2021-12-09 23:03:22,70.230392,-148.382828,-9901.72,-7275.68,-68573.01,999.00
2021-12-09 23:04:32,70.230392,-148.382828,-9793.00,-7190.16,-68280.68,999.00
2021-12-09 23:05:41,70.230392,-148.382828,-9656.88,-7166.56,-68472.68,999.00
2021-12-09 23:06:51,70.230392,-148.382828,-9577.55,-7164.08,-68616.21,999.00
2021-12-09 23:08:02,70.230392,-148.382828,-9431.79,-7270.69,-68811.65,999.00
2021-12-09 23:09:12,70.230392,-148.382828,-9382.25,-7324.76,-68604.34,999.00
2021-12-09 23:10:21,70.230392,-148.382828,-9611.85,-7196.96,-68907.56,999.00
2021-12-09 23:11:32,70.230392,-148.382828,-9484.53,-6986.12,-68947.99,999.00
2021-12-09 23:12:42,70.230392,-148.382828,-9470.96,-6892.62,-69030.22,999.00
2021-12-09 23:13:52,70.230392,-148.382828,-9704.34,-7598.22,-68806.66,999.00
2021-12-09 23:15:01,70.230392,-148.382828,-9730.58,-7963.41,-68751.19,999.00
2021-12-09 23:16:12,70.230392,-148.382828,-9783.85,-7956.91,-68840.47,999.00
2021-12-09 23:17:22,70.230392,-148.382828,-9640.44,-7734.17,-68893.76,999.00
2021-12-09 23:18:32,70.230392,-148.382828,-9880.47,-7849.01,-68672.82,999.00
2021-12-09 23:19:41,70.230392,-148.382828,-9733.76,-7848.62,-68795.59,999.00
2021-12-09 23:20:52,70.230392,-148.382828,-9636.62,-7808.12,-68927.71,999.00
2021-12-09 23:22:02,70.230392,-148.382828,-9895.84,-7704.83,-68928.07,999.00
2021-12-09 23:23:12,70.230392,-148.382828,-9821.50,-7677.95,-68958.56,999.00
2021-12-09 23:24:22,70.230392,-148.382828,-9724.78,-7710.88,-68723.91,999.00
2021-12-09 23:25:32,70.230392,-148.382828,-9614.54,-7757.33,-68614.99,999.00
2021-12-09 23:26:42,70.230392,-148.382828,-9518.67,-7623.66,-68778.90,999.00
2021-12-09 23:27:51,70.230392,-148.382828,-9668.39,-6995.38,-69395.94,999.00
2021-12-09 23:29:02,70.230392,-148.382828,-9661.30,-7106.29,-69215.46,999.00
2021-12-09 23:30:12,70.230392,-148.382828,-9596.37,-7036.73,-69358.52,999.00
2021-12-09 23:31:21,70.230392,-148.382828,-9448.56,-6882.08,-69446.07,999.00
2021-12-09 23:32:32,70.230392,-148.382828,-9451.40,-7044.00,-69276.42,999.00
2021-12-09 23:33:41,70.230392,-148.382828,-9618.99,-7049.89,-69407.27,999.00
2021-12-09 23:34:51,70.230392,-148.382828,-9470.60,-6930.42,-69397.74,999.00
2021-12-09 23:36:01,70.230392,-148.382828,-9605.26,-6993.34,-69618.96,999.00
2021-12-09 23:37:12,70.230392,-148.382828,-9643.29,-7049.65,-69338.09,999.00
2021-12-09 23:38:22,70.230392,-148.382828,-9603.55,-7017.45,-69255.97,999.00
2021-12-09 23:39:31,70.230392,-148.382828,-9619.33,-7022.62,-69524.76,999.00
2021-12-09 23:40:42,70.230392,-148.382828,-9680.40,-6920.78,-69624.95,999.00
2021-12-09 23:41:51,70.230392,-148.382828,-9782.65,-6869.69,-69692.88,999.00
2021-12-09 23:43:02,70.230392,-148.382828,-9505.65,-7030.95,-69383.40,999.00
2021-12-09 23:44:11,70.230392,-148.382828,-9467.55,-7023.58,-69536.57,999.00
2021-12-09 23:45:22,70.230392,-148.382828,-9581.09,-7039.47,-69416.17,999.00
2021-12-09 23:46:32,70.230392,-148.382828,-9654.73,-7147.25,-69474.51,999.00
2021-12-09 23:47:42,70.230392,-148.382828,-9624.57,-7098.85,-69424.95,999.00
2021-12-09 23:48:52,70.230392,-148.382828,-9665.23,-7183.24,-69695.84,999.00
2021-12-09 23:50:02,70.230392,-148.382828,-9764.81,-7209.61,-69498.51,999.00
2021-12-09 23:51:12,70.230392,-148.382828,-9932.03,-7163.77,-69536.79,999.00
2021-12-09 23:52:22,70.230392,-148.382828,-9733.51,-7073.50,-69721.41,999.00
2021-12-09 23:53:32,70.230392,-148.382828,-9695.52,-7152.27,-69481.74,999.00
2021-12-09 23:54:41,70.230392,-148.382828,-9832.76,-7257.09,-69692.12,999.00
2021-12-09 23:55:51,70.230392,-148.382828,-9606.97,-7224.60,-69674.70,999.00
2021-12-09 23:57:01,70.230392,-148.382828,-9541.67,-7203.86,-69466.48,999.00
2021-12-09 23:58:12,70.230392,-148.382828,-9584.39,-7075.00,-69665.56,999.00
2021-12-09 23:59:22,70.230392,-148.382828,-9641.61,-6975.55,-69307.59,999.00
2021-12-10 00:00:32,70.230392,-148.382828,-9658.67,-7154.26,-69627.42,999.00
2021-12-10 00:01:41,70.230392,-148.382828,-9615.66,-7121.06,-69523.93,999.00
2021-12-10 00:02:52,70.230392,-148.382828,-9747.62,-6989.27,-69421.46,999.00
2021-12-10 00:04:02,70.230392,-148.382828,-9507.34,-7077.04,-69493.03,999.00
2021-12-10 00:05:11,70.230392,-148.382828,-9410.38,-7006.95,-69686.51,999.00
2021-12-10 00:06:22,70.230392,-148.382828,-9427.50,-7026.81,-69697.67,999.00
2021-12-10 00:07:31,70.230392,-148.382828,-9642.34,-7077.43,-69768.60,999.00
2021-12-10 00:08:42,70.230392,-148.382828,-9689.31,-6994.25,-69714.18,999.00
2021-12-10 00:09:51,70.230392,-148.382828,-9494.45,-6950.03,-69581.41,999.00
2021-12-10 00:11:02,70.230392,-148.382828,-9542.45,-6997.19,-69646.14,999.00
2021-12-10 00:12:12,70.230392,-148.382828,-9419.05,-7157.27,-69702.45,999.00
2021-12-10 00:13:22,70.230392,-148.382828,-9480.09,-6939.93,-69742.95,999.00
2021-12-10 00:14:32,70.230392,-148.382828,-9369.73,-6920.46,-69758.46,999.00
2021-12-10 00:15:42,70.230392,-148.382828,-9375.67,-6901.96,-69897.70,999.00
2021-12-10 00:16:52,70.230392,-148.382828,-9478.64,-6871.07,-69637.32,999.00
2021-12-10 00:18:02,70.230392,-148.382828,-9585.39,-6849.74,-69797.12,999.00
2021-12-10 00:19:11,70.230392,-148.382828,-9562.37,-6804.31,-69871.65,999.00
2021-12-10 00:20:21,70.230392,-148.382828,-9532.81,-7089.09,-69779.20,999.00
2021-12-10 00:21:32,70.230392,-148.382828,-9462.36,-6883.83,-69631.33,999.00
2021-12-10 00:22:42,70.230392,-148.382828,-9572.50,-6964.11,-69634.46,999.00
2021-12-10 00:23:52,70.230392,-148.382828,-9485.09,-6971.58,-69810.84,999.00
2021-12-10 00:25:02,70.230392,-148.382828,-9637.34,-7098.04,-69786.99,999.00
2021-12-10 00:26:12,70.230392,-148.382828,-9644.25,-6935.44,-69545.88,999.00
2021-12-10 00:27:21,70.230392,-148.382828,-9611.33,-6990.04,-69689.98,999.00
2021-12-10 00:28:31,70.230392,-148.382828,-9700.74,-6851.45,-69426.54,999.00
2021-12-10 00:29:42,70.230392,-148.382828,-9712.25,-6854.14,-69537.37,999.00
2021-12-10 00:30:52,70.230392,-148.382828,-9730.28,-6870.04,-69438.41,999.00
2021-12-10 00:32:02,70.230392,-148.382828,-9700.22,-6730.75,-69641.71,999.00
2021-12-10 00:33:11,70.230392,-148.382828,-9630.42,-6872.18,-69468.48,999.00
2021-12-10 00:34:21,70.230392,-148.382828,-9542.09,-6974.34,-69461.45,999.00
2021-12-10 00:35:32,70.230392,-148.382828,-9477.19,-7011.02,-69710.84,999.00
2021-12-10 00:36:42,70.230392,-148.382828,-9668.36,-6817.69,-69721.96,999.00
2021-12-10 00:37:52,70.230392,-148.382828,-9820.23,-6803.25,-69918.79,999.00
2021-12-10 00:39:02,70.230392,-148.382828,-9610.29,-6819.80,-69599.44,999.00
2021-12-10 00:40:11,70.230392,-148.382828,-9437.00,-6851.43,-69777.84,999.00
2021-12-10 00:41:22,70.230392,-148.382828,-9550.03,-6697.97,-69894.27,999.00
2021-12-10 00:42:32,70.230392,-148.382828,-9600.89,-6715.08,-69883.87,999.00
2021-12-10 00:43:41,70.230392,-148.382828,-9710.16,-6752.72,-70063.23,999.00
2021-12-10 00:44:51,70.230392,-148.382828,-9650.68,-6715.17,-70020.57,999.00
2021-12-10 00:46:01,70.230392,-148.382828,-9735.45,-6794.06,-70012.99,999.00
2021-12-10 00:47:12,70.230392,-148.382828,-9743.14,-6889.10,-69871.15,999.00
2021-12-10 00:48:22,70.230392,-148.382828,-9722.01,-6926.62,-69796.58,999.00
2021-12-10 00:49:32,70.230392,-148.382828,-9495.94,-6991.52,-70021.76,999.00
2021-12-10 00:50:41,70.230392,-148.382828,-9781.96,-6909.13,-70044.58,999.00
2021-12-10 00:51:52,70.230392,-148.382828,-9975.57,-7082.98,-69955.99,999.00
2021-12-10 00:53:01,70.230392,-148.382828,-9793.25,-6836.14,-70001.93,999.00
2021-12-10 00:54:12,70.230392,-148.382828,-9853.98,-6834.94,-70002.52,999.00
2021-12-10 00:55:22,70.230392,-148.382828,-9780.25,-6797.05,-69872.35,999.00
2021-12-10 00:56:32,70.230392,-148.382828,-9760.49,-6831.62,-70042.76,999.00
2021-12-10 00:57:42,70.230392,-148.382828,-9773.12,-6917.19,-69909.94,999.00
2021-12-10 00:58:51,70.230392,-148.382828,-9878.09,-6904.64,-69855.87,999.00
2021-12-10 01:00:02,70.230392,-148.382828,-9913.39,-6958.93,-69948.82,999.00
2021-12-10 01:01:12,70.230392,-148.382828,-9815.55,-6932.76,-69847.38,999.00
2021-12-10 01:02:22,70.230392,-148.382828,-9704.30,-6769.67,-69809.90,999.00
2021-12-10 01:03:32,70.230392,-148.382828,-9746.47,-6796.01,-69689.60,999.00
2021-12-10 01:04:42,70.230392,-148.382828,-9715.60,-6948.00,-69836.16,999.00
2021-12-10 01:05:52,70.230392,-148.382828,-9710.79,-6910.84,-69999.34,999.00
2021-12-10 01:07:02,70.230392,-148.382828,-9731.63,-6889.94,-69976.00,999.00
2021-12-10 01:08:12,70.230392,-148.382828,-9664.73,-6897.93,-69991.55,999.00
2021-12-10 01:09:21,70.230392,-148.382828,-9619.51,-6728.86,-70073.66,999.00
2021-12-10 01:10:32,70.230392,-148.382828,-9480.24,-6890.46,-70066.05,999.00
2021-12-10 01:11:42,70.230392,-148.382828,-9532.69,-7032.64,-70077.24,999.00
2021-12-10 01:12:51,70.230392,-148.382828,-9558.25,-6914.75,-70085.25,999.00
2021-12-10 01:14:02,70.230392,-148.382828,-9499.32,-6904.67,-69962.11,999.00
2021-12-10 01:15:12,70.230392,-148.382828,-9582.39,-6801.16,-70050.84,999.00
2021-12-10 01:16:21,70.230392,-148.382828,-9563.09,-6728.46,-69834.02,999.00
2021-12-10 01:17:32,70.230392,-148.382828,-9529.64,-6807.33,-69907.17,999.00
2021-12-10 01:18:42,70.230392,-148.382828,-9562.85,-6833.07,-69697.89,999.00
