Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT), Tempature (°F)
12/8/2021 15:03,70.230377,-148.382812,-5000.86,4085.44,-59031.37,59383.51678,999
12/8/2021 15:04,70.230377,-148.382812,-1082.98,9779.62,-71443.27,72117.64445,999
12/8/2021 15:05,70.230377,-148.382812,-1065.41,9862.22,-71521.87,72206.48427,999
12/8/2021 15:07,70.230377,-148.382812,-1010.73,9770.7,-71525.79,72197.13837,999
12/8/2021 15:08,70.230377,-148.382812,-921.31,9951.22,-71567.71,72262.11114,999
12/8/2021 15:09,70.230377,-148.382812,-911.09,9822.14,-71810.73,72485.07062,999
12/8/2021 15:10,70.230377,-148.382812,-951.88,9749.33,-71947.63,72611.41077,999
12/8/2021 15:11,70.230377,-148.382812,-1122.36,9748.25,-71680.23,72348.76255,999
12/8/2021 15:12,70.230377,-148.382812,-1127.7,9670.93,-72034.21,72689.2427,999
12/8/2021 15:14,70.230377,-148.382812,-1122.81,9799.17,-72039.66,72711.73941,999
12/8/2021 15:15,70.230377,-148.382812,-1098.77,9813.41,-72072.2,72745.5313,999
12/8/2021 15:16,70.230377,-148.382812,-1025.89,9707.32,-72231.73,72888.32095,999
12/8/2021 15:17,70.230377,-148.382812,-939.63,9748.03,-72397.27,73056.63349,999
12/8/2021 15:18,70.230377,-148.382812,-942.74,9702.34,-72556.41,73208.31095,999
12/8/2021 15:19,70.230377,-148.382812,-1022.63,9597.21,-72281.6,72923.12329,999
12/8/2021 15:21,70.230377,-148.382812,-1001.95,9682.45,-72228.99,72881.96442,999
12/8/2021 15:22,70.230377,-148.382812,-945.07,9627.96,-72215.12,72860.23832,999
12/8/2021 15:23,70.230377,-148.382812,-935.1,9685.48,-72281.77,72933.78647,999
12/8/2021 15:24,70.230377,-148.382812,-819.31,9885.07,-72207.62,72885.70686,999
12/8/2021 15:25,70.230377,-148.382812,-892.97,9938.93,-72332.95,73018.04832,999
12/8/2021 15:26,70.230377,-148.382812,-940.86,9706.32,-72297.35,72952.07113,999
12/8/2021 15:28,70.230377,-148.382812,-938.86,9693.64,-72313.16,72966.02787,999
12/8/2021 15:29,70.230377,-148.382812,-1041.92,9735.38,-72306.38,72966.26487,999
12/8/2021 15:30,70.230377,-148.382812,-893.83,9745.99,-72363.77,73022.58871,999
