Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT),TF20pt, Tempature (°F)
12/7/2021 18:05,70.230377,-148.382812,-36170.21,-35634.81,-9204.94,51602.8555,,999
12/7/2021 18:07,70.230377,-148.382812,6651.34,-32171.62,-64470.19,72357.85276,,999
12/7/2021 18:08,70.230377,-148.382812,6649.67,-32075.62,-64614.54,72443.7871,,999
12/7/2021 18:09,70.230377,-148.382812,6737.68,-32046.93,-64424.21,72269.50179,,999
12/7/2021 18:10,70.230377,-148.382812,6701.85,-32103.96,-64112.77,72014.07028,,999
12/7/2021 18:11,70.230377,-148.382812,6893.64,-32134.7,-63972.06,71920.69019,,999
12/7/2021 18:12,70.230377,-148.382812,6877.47,-32034.77,-64278.33,72147.27847,,999
12/7/2021 18:14,70.230377,-148.382812,6875.64,-32088.3,-64673.34,72522.92278,,999
12/7/2021 18:15,70.230377,-148.382812,7054.12,-32052.85,-64704.96,72552.58542,,999
12/7/2021 18:16,70.230377,-148.382812,7106.12,-32036.77,-64607.72,72463.84655,,999
12/7/2021 18:17,70.230377,-148.382812,7045.54,-31976.1,-64622.18,72444.02496,72395.52221,999
12/7/2021 18:18,70.230377,-148.382812,6790.11,-32066.87,-64565.19,72408.9325,72402.06683,999
12/7/2021 18:19,70.230377,-148.382812,6761.2,-32075.83,-64457.47,72314.16275,72412.79802,999
12/7/2021 18:21,70.230377,-148.382812,6730.14,-32105.31,-64353.36,72231.5766,72437.61435,999
12/7/2021 18:22,70.230377,-148.382812,6818.44,-32005.06,-64479.19,72307.54409,72466.46013,999
12/7/2021 18:23,70.230377,-148.382812,6845.85,-32083.51,-64546.17,72404.59473,72507.12928,999
12/7/2021 18:24,70.230377,-148.382812,6848.11,-32058.03,-64579.9,72423.59686,72541.36784,999
12/7/2021 18:25,70.230377,-148.382812,6650.82,-32213.07,-64997.12,72846.00808,72546.22848,999
12/7/2021 18:26,70.230377,-148.382812,6711.21,-32066.43,-64951.21,72745.83117,72560.61887,999
