Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2021-12-15 20:34:29,70.230667,-148.382004,-10030.53,34525.39,-73581.26,999.00
2021-12-15 20:35:39,70.230667,-148.382004,-10052.95,34506.70,-73496.12,999.00
2021-12-15 20:36:49,70.230667,-148.382004,-10025.15,34538.24,-73825.23,999.00
2021-12-15 20:37:59,70.230667,-148.382004,-10145.80,34633.80,-74020.73,999.00
2021-12-15 20:39:09,70.230667,-148.382004,-10116.31,34700.41,-74018.66,999.00
2021-12-15 20:40:19,70.230667,-148.382004,-10294.91,34752.62,-74162.36,999.00
2021-12-15 20:41:29,70.230667,-148.382004,-10337.22,34853.39,-74500.37,999.00
2021-12-15 20:42:39,70.230667,-148.382004,-10230.51,34764.79,-74695.62,999.00
2021-12-15 20:43:49,70.230667,-148.382004,-10190.64,34836.53,-74917.79,999.00
2021-12-15 20:44:59,70.230667,-148.382004,-10239.32,34892.51,-74911.07,999.00
2021-12-15 20:46:09,70.230667,-148.382004,-10192.30,34795.56,-74840.98,999.00
2021-12-15 20:47:19,70.230667,-148.382004,-10386.00,34927.72,-75101.42,999.00
2021-12-15 20:48:29,70.230667,-148.382004,-10114.50,34977.25,-75095.86,999.00
2021-12-15 20:49:39,70.230667,-148.382004,-10061.33,35032.29,-75288.34,999.00
2021-12-15 20:50:49,70.230667,-148.382004,-10269.09,35056.01,-75193.54,999.00
2021-12-15 20:51:59,70.230667,-148.382004,-10343.15,35123.36,-75416.14,999.00
2021-12-15 20:53:09,70.230667,-148.382004,-10409.11,35191.59,-75495.62,999.00
2021-12-15 20:54:19,70.230667,-148.382004,-10459.73,35235.78,-75312.74,999.00
2021-12-15 20:55:29,70.230667,-148.382004,-10490.94,35139.25,-75444.26,999.00
2021-12-15 20:56:39,70.230667,-148.382004,-10561.56,35101.13,-75689.13,999.00
2021-12-15 20:57:49,70.230667,-148.382004,-10387.41,35049.21,-75698.40,999.00
2021-12-15 20:58:59,70.230667,-148.382004,-10393.44,34918.92,-75798.58,999.00
2021-12-15 21:00:09,70.230667,-148.382004,-10526.92,34959.14,-75475.45,999.00
2021-12-15 21:01:19,70.230667,-148.382004,-10384.44,35026.20,-75210.15,999.00
2021-12-15 21:02:29,70.230667,-148.382004,-10140.17,35097.82,-75185.77,999.00
2021-12-15 21:03:39,70.230667,-148.382004,-10083.32,35105.59,-75461.83,999.00
2021-12-15 21:04:49,70.230667,-148.382004,-10045.63,35004.01,-75389.70,999.00
2021-12-15 21:05:59,70.230667,-148.382004,-10175.10,34978.69,-75145.59,999.00
2021-12-15 21:07:09,70.230667,-148.382004,-10270.52,35024.49,-75123.83,999.00
2021-12-15 21:08:19,70.230667,-148.382004,-10215.53,35108.92,-75437.73,999.00
2021-12-15 21:09:29,70.230667,-148.382004,-10263.68,35101.04,-75347.68,999.00
2021-12-15 21:10:39,70.230667,-148.382004,-10138.33,35126.70,-75108.41,999.00
2021-12-15 21:11:49,70.230667,-148.382004,-10174.62,35077.55,-75366.37,999.00
2021-12-15 21:12:59,70.230667,-148.382004,-10085.67,35142.64,-75409.89,999.00
2021-12-15 21:14:09,70.230667,-148.382004,-10178.31,35049.90,-75351.45,999.00
2021-12-15 21:15:19,70.230667,-148.382004,-10383.91,35122.23,-75419.37,999.00
2021-12-15 21:16:29,70.230667,-148.382004,-10405.71,35152.89,-75276.46,999.00
2021-12-15 21:17:39,70.230667,-148.382004,-10273.64,35154.05,-75208.18,999.00
2021-12-15 21:18:49,70.230667,-148.382004,-10264.54,35096.82,-75019.50,999.00
2021-12-15 21:19:59,70.230667,-148.382004,-10282.72,35119.22,-75298.52,999.00
2021-12-15 21:21:09,70.230667,-148.382004,-10558.27,35006.87,-75245.52,999.00
2021-12-15 21:22:19,70.230667,-148.382004,-10495.67,35061.06,-75179.29,999.00
2021-12-15 21:23:29,70.230667,-148.382004,-10464.55,34995.56,-75635.85,999.00
2021-12-15 21:24:39,70.230667,-148.382004,-10532.75,35067.75,-75646.76,999.00
2021-12-15 21:25:49,70.230667,-148.382004,-10459.67,35023.95,-75683.16,999.00
2021-12-15 21:26:59,70.230667,-148.382004,-10461.35,34963.79,-75532.93,999.00
2021-12-15 21:28:09,70.230667,-148.382004,-10626.49,34993.67,-75613.43,999.00
