Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2022-01-31 16:42:54,70.230721,-148.381851,-7186.15,-8070.20,-48713.04,999.00
2022-01-31 16:44:04,70.230721,-148.381851,-10801.85,-6833.67,-40508.62,999.00
2022-01-31 16:45:14,70.230721,-148.381851,-8196.17,-4647.79,-49986.44,999.00
2022-01-31 16:46:24,70.230721,-148.381851,-8349.24,-4576.22,-49972.14,999.00
2022-01-31 16:47:34,70.230721,-148.381851,-8233.11,-4607.56,-49946.34,999.00
2022-01-31 16:48:44,70.230721,-148.381851,-8343.88,-4521.77,-50120.03,999.00
2022-01-31 16:49:54,70.230721,-148.381851,-8345.78,-4666.43,-50178.38,999.00
2022-01-31 16:51:04,70.230721,-148.381851,-8227.26,-4642.25,-50323.54,999.00
2022-01-31 16:52:14,70.230721,-148.381851,-8144.38,-4630.61,-50219.57,999.00
2022-01-31 16:53:24,70.230721,-148.381851,-8111.11,-4496.99,-50349.45,999.00
2022-01-31 16:54:34,70.230721,-148.381851,-8146.65,-4488.49,-50574.00,999.00
2022-01-31 16:55:44,70.230721,-148.381851,-8113.26,-4552.22,-50425.66,999.00
2022-01-31 16:56:54,70.230721,-148.381851,-8162.70,-4530.75,-50536.32,999.00
2022-01-31 16:58:04,70.230721,-148.381851,-8333.55,-4590.59,-50540.12,999.00
2022-01-31 16:59:14,70.230721,-148.381851,-8166.77,-4534.47,-50440.28,999.00
2022-01-31 17:00:24,70.230721,-148.381851,-8029.74,-4506.99,-50415.96,999.00
2022-01-31 17:01:34,70.230721,-148.381851,-8194.11,-4482.92,-50530.86,999.00
2022-01-31 17:02:44,70.230721,-148.381851,-8296.69,-4510.12,-50315.66,999.00
2022-01-31 17:03:54,70.230721,-148.381851,-8314.97,-4372.77,-50500.66,999.00
2022-01-31 17:05:04,70.230721,-148.381851,-8157.59,-4297.99,-50679.73,999.00
2022-01-31 17:06:14,70.230721,-148.381851,-8127.37,-4372.80,-50685.30,999.00
2022-01-31 17:07:24,70.230721,-148.381851,-8065.31,-4375.55,-50531.15,999.00
2022-01-31 17:08:34,70.230721,-148.381851,-8189.01,-4308.57,-50649.21,999.00
2022-01-31 17:09:44,70.230721,-148.381851,-8226.24,-4269.14,-50830.70,999.00
2022-01-31 17:10:54,70.230721,-148.381851,-8233.15,-4410.83,-50731.36,999.00
2022-01-31 17:12:04,70.230721,-148.381851,-7883.99,-4413.11,-50924.11,999.00
2022-01-31 17:13:14,70.230721,-148.381851,-8081.99,-4363.76,-50859.82,999.00
2022-01-31 17:14:24,70.230721,-148.381851,-8146.08,-4521.68,-50650.73,999.00
2022-01-31 17:15:34,70.230721,-148.381851,-8242.86,-4464.19,-50695.48,999.00
2022-01-31 17:16:44,70.230721,-148.381851,-8257.42,-4490.56,-50751.19,999.00
2022-01-31 17:17:54,70.230721,-148.381851,-8339.22,-4423.16,-50734.42,999.00
2022-01-31 17:19:04,70.230721,-148.381851,-8277.36,-4337.79,-50758.22,999.00
2022-01-31 17:20:14,70.230721,-148.381851,-8188.23,-4318.10,-50699.30,999.00
2022-01-31 17:21:24,70.230721,-148.381851,-8190.95,-4364.91,-50603.82,999.00
2022-01-31 17:22:34,70.230721,-148.381851,-8177.14,-4555.18,-50697.38,999.00
2022-01-31 17:23:44,70.230721,-148.381851,-8254.92,-4544.56,-50466.86,999.00
2022-01-31 17:24:54,70.230721,-148.381851,-8203.85,-4489.26,-50581.28,999.00
2022-01-31 17:26:04,70.230721,-148.381851,-8278.89,-4546.83,-50777.69,999.00
2022-01-31 17:27:14,70.230721,-148.381851,-8329.00,-4510.14,-50881.70,999.00
2022-01-31 17:28:24,70.230721,-148.381851,-8328.31,-4489.49,-50796.99,999.00
2022-01-31 17:29:34,70.230721,-148.381851,-8500.88,-4531.50,-50912.79,999.00
2022-01-31 17:30:44,70.230721,-148.381851,-8430.51,-4360.09,-50810.85,999.00
2022-01-31 17:31:54,70.230721,-148.381851,-8342.63,-4456.54,-50694.67,999.00
2022-01-31 17:33:04,70.230721,-148.381851,-8354.67,-4487.43,-50759.06,999.00
2022-01-31 17:34:14,70.230721,-148.381851,-8250.70,-4644.45,-50630.68,999.00
2022-01-31 17:35:24,70.230721,-148.381851,-8197.23,-4472.60,-50613.61,999.00
2022-01-31 17:36:34,70.230721,-148.381851,-8290.91,-4539.45,-50471.22,999.00
2022-01-31 17:37:44,70.230721,-148.381851,-8406.25,-4512.62,-50503.41,999.00
2022-01-31 17:38:54,70.230721,-148.381851,-8305.40,-4455.22,-50472.71,999.00
2022-01-31 17:40:04,70.230721,-148.381851,-8172.71,-4315.89,-50612.83,999.00
2022-01-31 17:41:14,70.230721,-148.381851,-8085.20,-4429.33,-50643.09,999.00
2022-01-31 17:42:24,70.230721,-148.381851,-8011.99,-4339.99,-50591.99,999.00
2022-01-31 17:43:34,70.230721,-148.381851,-8158.95,-4322.55,-50598.92,999.00
2022-01-31 17:44:44,70.230721,-148.381851,-8248.93,-4437.68,-50694.72,999.00
2022-01-31 17:45:54,70.230721,-148.381851,-8227.96,-4485.67,-50774.59,999.00
2022-01-31 17:47:04,70.230721,-148.381851,-8343.37,-4497.85,-50800.41,999.00
2022-01-31 17:48:14,70.230721,-148.381851,-8396.57,-4478.62,-50766.61,999.00
2022-01-31 17:49:24,70.230721,-148.381851,-8433.43,-4515.32,-50743.25,999.00
2022-01-31 17:50:34,70.230721,-148.381851,-8228.25,-4489.90,-50633.55,999.00
2022-01-31 17:51:44,70.230721,-148.381851,-8163.22,-4476.56,-50543.29,999.00
2022-01-31 17:52:54,70.230721,-148.381851,-8068.43,-4416.27,-50628.57,999.00
2022-01-31 17:54:04,70.230721,-148.381851,-8220.60,-4523.11,-50656.42,999.00
2022-01-31 17:55:14,70.230721,-148.381851,-8182.15,-4538.60,-50479.12,999.00
2022-01-31 17:56:24,70.230721,-148.381851,-8225.49,-4464.15,-50545.32,999.00
